employee_id,date_of_birth,hire_date,employment_status,department,role,city,state,region,base_salary_usd,product_line,quota_usd,sales_ytd_usd
2065464,3/26/2003,4/2/2017,Active,IT,HR Generalist,Los Angeles,CA,Northeast,50494,Professional Services,522897,686644
2078500,8/24/1979,1/24/2018,Active,Finance,Customer Success Manager,Denver,CO,South,122807,Hardware,1142776,1517586
2082074,1/4/1993,2/28/2017,OnLeave,Operations,HR Generalist,Dallas,TX,Northeast,59259,SaaS,842502,1303785
2083040,7/6/1976,4/17/2020,OnLeave,IT,Customer Success Manager,Chicago,IL,Midwest,139227,SaaS,1009872,1051768
2090251,1/29/1973,7/11/2016,OnLeave,Sales,Sales Representative,Los Angeles,CA,Northeast,88043,Subscriptions,375993,425654
2099120,8/28/1994,9/13/2021,Active,HR,Sales Representative,Boston,MA,Midwest,63720,Support Plans,403347,230455
2109628,9/19/1968,10/5/2019,Active,IT,Customer Success Manager,New York,NY,South,121190,SaaS,1113206,1218800
2113809,11/12/1991,12/22/2023,OnLeave,IT,Account Executive,San Antonio,TX,South,110934,Professional Services,835276,876498
2136252,11/30/2001,10/23/2016,OnLeave,Marketing,Sales Manager,Dallas,TX,Northeast,138339,Professional Services,150630,171172
2143944,6/13/1991,5/19/2016,Active,Operations,Account Executive,Chicago,IL,Northeast,89638,Subscriptions,762894,752590
2168013,11/22/1963,11/26/2016,Active,IT,Sales Representative,Phoenix,AZ,West,108985,Professional Services,518939,752180
2184552,3/25/1976,4/17/2017,Active,Finance,IT Support Specialist,Atlanta,GA,Midwest,71663,Support Plans,876954,748156
2206542,9/26/1988,10/9/2022,Active,Customer Success,Customer Success Manager,Los Angeles,CA,Midwest,115505,Support Plans,1152649,668467
2216977,11/8/1979,2/16/2020,Active,Sales,Financial Analyst,Los Angeles,CA,West,54404,SaaS,1050830,259154
2221043,3/9/1993,8/12/2017,Active,IT,Customer Success Manager,Phoenix,AZ,Northeast,124222,Hardware,372323,456189
2222863,11/4/1994,3/27/2019,Active,Sales Ops,IT Support Specialist,Houston,TX,Northeast,78956,Subscriptions,474856,616056
2225733,5/27/2006,12/18/2023,OnLeave,Sales,Sales Representative,Boston,MA,Northeast,125871,SaaS,940130,1034583
2232549,9/13/1996,2/8/2025,Active,Marketing,Customer Success Manager,Los Angeles,CA,Northeast,146209,Subscriptions,1001474,575817
2237152,5/30/2007,3/28/2020,Terminated,Sales Ops,IT Support Specialist,Dallas,TX,West,46613,Professional Services,874891,588609
2253393,1/20/1988,10/17/2016,Active,Operations,Marketing Specialist,Houston,TX,Northeast,89981,SaaS,599390,578155
2264667,3/17/1989,6/27/2022,Active,Finance,Financial Analyst,New York,NY,South,51267,Support Plans,1198223,659118
2282710,9/11/1981,8/6/2019,Active,Sales,HR Generalist,Denver,CO,West,83497,Professional Services,771079,915483
2286542,10/12/1977,6/21/2023,Active,Operations,IT Support Specialist,Chicago,IL,South,74669,Support Plans,1015285,936933
2308739,8/9/1968,4/25/2024,Terminated,Sales,Senior Account Executive,Los Angeles,CA,Northeast,121513,Professional Services,992793,746691
2309939,6/5/2003,1/18/2017,Active,Sales Ops,Sales Manager,New York,NY,Midwest,105721,SaaS,539756,314818
2317105,1/29/1965,1/8/2020,Active,Operations,IT Support Specialist,Philadelphia,PA,Northeast,51788,SaaS,488446,620124
2319790,12/1/1999,8/2/2021,Active,Operations,Sales Operations Analyst,Los Angeles,CA,Northeast,62526,Hardware,340840,541319
2341052,5/5/1981,4/24/2017,OnLeave,IT,Operations Coordinator,Philadelphia,PA,West,74746,SaaS,1000638,1085708
2347440,2/11/2003,8/10/2023,Active,Customer Success,Financial Analyst,Atlanta,GA,West,85671,Subscriptions,1086907,226314
2348125,6/23/1963,12/18/2021,Active,Finance,Marketing Specialist,Dallas,TX,Midwest,71970,Subscriptions,688002,1002553
2353223,4/18/2001,3/3/2017,Active,Marketing,Account Executive,Houston,TX,South,70366,Hardware,907561,799023
2384285,6/8/1994,11/9/2019,Active,IT,Sales Manager,San Antonio,TX,Northeast,110316,Subscriptions,206779,249237
2385367,9/28/1988,11/7/2021,Active,IT,Customer Success Manager,Chicago,IL,Midwest,96364,Professional Services,466801,179397
2418885,3/18/1980,11/30/2021,Active,Operations,IT Support Specialist,Miami,FL,West,63255,Hardware,363027,80178
2424906,5/25/1964,11/28/2017,Active,Finance,IT Support Specialist,Los Angeles,CA,Northeast,67163,Support Plans,797760,331482
2464434,6/1/1965,5/23/2025,Terminated,Marketing,IT Support Specialist,San Antonio,TX,South,55333,SaaS,1143595,1178756
2479667,4/16/1976,12/25/2025,Active,Customer Success,IT Support Specialist,San Jose,CA,West,85537,SaaS,665595,755462
2482124,4/9/1997,10/12/2023,Terminated,Customer Success,Customer Success Manager,Los Angeles,CA,Northeast,132451,SaaS,430336,606689
2491252,12/4/1993,8/4/2025,Active,Customer Success,Sales Representative,Phoenix,AZ,Northeast,123645,Subscriptions,911193,1269540
2494440,12/1/1984,3/21/2020,Active,Finance,Customer Success Manager,San Jose,CA,South,121109,Hardware,1058411,340283
2494565,5/18/1962,9/29/2016,Terminated,Sales,IT Support Specialist,Denver,CO,West,78901,SaaS,1075550,1595555
2496244,5/7/2002,12/30/2017,Active,Marketing,IT Support Specialist,Philadelphia,PA,West,67111,Support Plans,988503,1355600
2497805,9/3/1989,11/20/2017,Terminated,Operations,Marketing Specialist,Seattle,WA,Midwest,60617,Professional Services,240357,239057
2522999,8/20/1997,1/31/2021,Active,Sales Ops,Marketing Specialist,Chicago,IL,West,48888,SaaS,1016302,681593
2525042,7/24/1982,5/3/2017,Active,Marketing,Account Executive,San Diego,CA,South,115025,Professional Services,293139,400909
2529198,8/20/1968,1/21/2022,Active,Finance,Account Executive,San Antonio,TX,Northeast,84165,SaaS,976496,688180
2531078,4/12/2000,2/25/2025,Active,Sales Ops,Sales Manager,San Diego,CA,Northeast,112393,Professional Services,156381,96015
2532619,10/15/1985,4/22/2020,Active,IT,Operations Coordinator,Houston,TX,South,75996,Professional Services,249663,102125
2545534,12/9/1995,9/20/2017,OnLeave,IT,Sales Operations Analyst,San Jose,CA,Northeast,83364,Hardware,218973,349241
2596296,9/9/1993,2/5/2024,Active,IT,Customer Success Manager,Los Angeles,CA,Midwest,129832,Support Plans,289287,168648
2605911,2/17/1985,9/19/2022,Active,HR,Account Executive,Phoenix,AZ,Midwest,53151,Hardware,570459,833230
2608297,2/6/2004,10/4/2018,Active,IT,Senior Account Executive,Boston,MA,Midwest,141904,Subscriptions,220347,113228
2608947,9/2/1989,12/26/2021,Active,Sales Ops,Customer Success Manager,Philadelphia,PA,Northeast,106985,Professional Services,376227,484898
2613433,3/18/1963,5/5/2023,Active,Sales,Marketing Specialist,Los Angeles,CA,South,79504,Subscriptions,1058671,619630
2613968,7/2/2002,6/16/2021,Active,Marketing,Sales Operations Analyst,San Diego,CA,Midwest,113680,Subscriptions,1141470,1105492
2635895,5/1/1996,12/20/2017,Active,Operations,Marketing Specialist,San Antonio,TX,Midwest,65693,SaaS,470558,362423
2639373,6/17/1972,11/27/2019,Active,Finance,Account Executive,Phoenix,AZ,Midwest,73950,Support Plans,753365,480514
2642658,12/31/1963,6/7/2024,Active,Operations,Operations Coordinator,Los Angeles,CA,South,72611,Subscriptions,1027770,601487
2656828,10/11/1975,2/19/2020,Active,Sales Ops,Customer Success Manager,Seattle,WA,Midwest,104805,SaaS,899179,196166
2659492,12/24/1961,2/25/2019,Terminated,HR,Account Executive,Chicago,IL,West,73601,SaaS,1094531,984441
2659937,4/19/1971,6/23/2018,Active,IT,Marketing Specialist,Denver,CO,Midwest,57981,Subscriptions,836013,1169852
2664418,3/26/1985,8/18/2023,Active,Finance,Sales Operations Analyst,Seattle,WA,South,83487,Hardware,357035,144800
2669743,10/2/1981,3/14/2017,Terminated,Operations,Operations Coordinator,Houston,TX,Northeast,71066,Hardware,565645,143164
2692883,2/19/2001,9/10/2020,Terminated,Finance,Sales Operations Analyst,Seattle,WA,Midwest,103320,SaaS,1140600,753988
2698068,5/30/2002,5/30/2024,Active,Sales Ops,Customer Success Manager,Seattle,WA,Northeast,86422,Support Plans,933792,1136159
2701576,7/17/1966,3/4/2024,Active,Customer Success,Financial Analyst,Phoenix,AZ,Midwest,45420,Professional Services,918210,577573
2712100,3/22/1987,1/21/2022,Terminated,IT,HR Generalist,Philadelphia,PA,Northeast,72520,Subscriptions,166594,203981
2712670,8/18/1973,4/21/2018,Active,Sales Ops,Account Executive,San Antonio,TX,Midwest,82521,Support Plans,709784,650783
2715711,2/5/1970,10/1/2023,Active,IT,IT Support Specialist,Denver,CO,Midwest,94301,Support Plans,982954,689061
2730171,1/4/1963,12/1/2022,Active,Operations,IT Support Specialist,Phoenix,AZ,South,93436,SaaS,569821,744030
2730592,8/23/2003,7/19/2024,Active,Finance,Senior Account Executive,Phoenix,AZ,South,131077,Support Plans,903943,1054429
2732397,10/21/2008,12/16/2021,Active,Operations,HR Generalist,San Diego,CA,Midwest,50666,Support Plans,188739,76232
2740789,11/12/1964,2/7/2023,Active,Operations,Customer Success Manager,San Antonio,TX,South,76267,SaaS,998390,1335454
2756003,7/20/1977,9/8/2022,Active,Operations,HR Generalist,Atlanta,GA,South,68630,SaaS,765056,935293
2765423,3/9/1977,9/26/2023,Active,Customer Success,Senior Account Executive,San Jose,CA,West,102380,SaaS,656609,166915
2771594,9/24/2002,11/9/2023,Active,Customer Success,Sales Manager,Seattle,WA,West,148277,SaaS,584043,673233
2782832,6/1/2006,11/24/2025,OnLeave,IT,Sales Operations Analyst,San Antonio,TX,South,73157,SaaS,955185,1371158
2784229,3/14/1973,6/14/2023,Terminated,HR,Operations Coordinator,Atlanta,GA,Northeast,88680,Support Plans,328352,144247
2801041,12/26/1981,10/8/2016,OnLeave,IT,Senior Account Executive,Miami,FL,Northeast,130239,Support Plans,628993,229531
2808835,5/27/2000,11/21/2024,OnLeave,Marketing,Customer Success Manager,Dallas,TX,West,130423,Professional Services,336092,454859
2820700,9/2/1987,1/27/2022,Active,Sales,Marketing Specialist,Houston,TX,West,68936,SaaS,392943,503847
2823138,1/11/1975,8/24/2024,Active,Operations,Senior Account Executive,Houston,TX,South,126821,SaaS,526774,211282
2830422,7/21/2007,1/14/2019,Active,Marketing,Senior Account Executive,Chicago,IL,West,102870,Professional Services,1101049,1588054
2839488,2/3/2002,3/6/2019,Active,Sales Ops,Sales Representative,Chicago,IL,South,58166,SaaS,469743,285414
2841055,1/30/1979,3/1/2016,Active,Finance,Operations Coordinator,Denver,CO,Midwest,88893,Hardware,548576,209290
2844768,5/14/1994,1/14/2023,Active,Marketing,HR Generalist,Philadelphia,PA,Northeast,73177,Professional Services,1137502,1712894
2859255,10/18/1967,2/25/2020,Active,Sales Ops,Sales Manager,Miami,FL,Midwest,161559,Professional Services,849713,416618
2873853,2/19/1978,1/29/2021,Active,IT,Financial Analyst,Phoenix,AZ,Midwest,46152,Subscriptions,991000,594091
2877351,12/8/1981,11/13/2024,Active,Operations,HR Generalist,Phoenix,AZ,South,53450,Professional Services,598510,316713
2883041,8/28/2007,12/20/2017,Active,Customer Success,Senior Account Executive,San Antonio,TX,Midwest,106114,Hardware,185652,122744
2886550,11/8/1980,7/23/2018,Active,IT,Marketing Specialist,Seattle,WA,South,69102,Professional Services,974543,695971
2889514,3/31/1992,1/14/2024,Active,Operations,Sales Manager,Miami,FL,Northeast,157181,Support Plans,1137416,894260
2894045,7/28/1992,3/16/2023,Active,IT,Sales Operations Analyst,Denver,CO,Midwest,63432,SaaS,1005236,1509024
2896670,12/11/1983,4/5/2022,Terminated,HR,Customer Success Manager,Philadelphia,PA,Midwest,107553,Professional Services,1013391,927815
2902474,11/13/1999,2/4/2017,Active,Finance,Sales Operations Analyst,Denver,CO,West,110163,Support Plans,821457,1266931
2907241,11/24/1974,5/24/2022,Active,Operations,Customer Success Manager,New York,NY,Midwest,101303,SaaS,792028,504116
2909818,3/30/1985,4/14/2016,Terminated,HR,Senior Account Executive,Philadelphia,PA,West,131377,SaaS,464273,358720
2913678,8/6/1998,8/9/2023,Active,Marketing,HR Generalist,New York,NY,West,46978,Hardware,837044,726492
2917686,11/4/1998,6/23/2025,OnLeave,Operations,IT Support Specialist,Philadelphia,PA,West,69680,Support Plans,699436,172424
2917934,4/22/1981,4/5/2021,Active,HR,Sales Operations Analyst,San Jose,CA,West,70950,Support Plans,238529,59296
2942949,5/29/1991,3/25/2025,Active,Marketing,Sales Representative,Chicago,IL,West,114369,Support Plans,339816,159192
2946753,12/31/1970,6/4/2020,Active,HR,Marketing Specialist,Atlanta,GA,Northeast,84967,SaaS,805581,347899
2960670,9/5/1991,5/27/2017,Active,Sales,Sales Manager,Boston,MA,Northeast,169220,Professional Services,872599,1085231
2969225,7/9/1993,5/6/2019,OnLeave,Sales,Customer Success Manager,San Antonio,TX,South,107974,Professional Services,1125269,781606
2988962,5/22/1974,12/6/2022,Terminated,IT,Marketing Specialist,Dallas,TX,West,57286,Subscriptions,769744,813920
2990383,8/7/1973,10/29/2021,Terminated,Sales Ops,Account Executive,San Jose,CA,West,63194,Subscriptions,275643,95507
3005474,2/21/1972,7/16/2019,Active,Marketing,Sales Operations Analyst,Denver,CO,West,78410,Professional Services,889014,567877
3022170,9/15/1964,4/24/2025,Active,Finance,Account Executive,Dallas,TX,South,118259,SaaS,947420,253293
3024728,1/5/1976,8/4/2023,Active,Customer Success,HR Generalist,Phoenix,AZ,Northeast,59282,Support Plans,861676,235361
3026710,7/5/2008,10/7/2017,Terminated,Finance,Financial Analyst,San Jose,CA,West,54906,Subscriptions,346281,313869
3032327,8/14/1995,2/17/2023,Terminated,HR,Marketing Specialist,Philadelphia,PA,West,51099,SaaS,276644,226966
